00:36:08.003 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
00:36:08.048 [main] INFO  org.app.Main - Starting Main using Java 21.0.2 with PID 34540 (D:\OneDrive\Skola\PPJ_2023_24_sem_prace\Spring_semestralni_prace\target\classes started by mirac in D:\OneDrive\Skola\PPJ_2023_24_sem_prace\Spring_semestralni_prace)
00:36:08.050 [main] INFO  org.app.Main - No active profile set, falling back to 1 default profile: "default"
00:36:08.464 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
00:36:08.513 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41 ms. Found 6 JPA repository interfaces.
00:36:08.979 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
00:36:09.351 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@48df4071
00:36:09.353 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
00:36:09.394 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
00:36:09.442 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.8.Final
00:36:09.443 [main] INFO  org.hibernate.cfg.Environment - HHH000205: Loaded properties from resource hibernate.properties: {spring.jpa.hibernate.dialect=org.hibernate.dialect.MySQLDialect, spring.jpa.hibernate.show_sql=true}
00:36:09.467 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
00:36:09.693 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
00:36:09.768 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
00:36:10.168 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): org.app.data.CompositeKey
00:36:10.168 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): org.app.data.CompositeKey
00:36:10.168 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): org.app.data.CompositeKey
00:36:10.168 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): org.app.data.CompositeKey
00:36:10.168 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): org.app.data.CompositeKey
00:36:10.169 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): org.app.data.CompositeKey
00:36:10.169 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): org.app.data.CompositeKey
00:36:10.169 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): org.app.data.CompositeKey
00:36:10.747 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
00:36:10.750 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
00:36:10.971 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
00:36:11.595 [main] INFO  org.app.Main - Started Main in 3.858 seconds (process running for 4.396)
00:36:12.258 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
00:36:12.259 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
00:36:12.267 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
